,Model name,AUC,f1_score,accuracy,precision_weighted,precision_micro,balanced_accuracy,Recall,correctly_percentage,incorrectly_percentage
0,CatBoost,0.71,0.57,0.85,0.84,0.85,0.71,0.46,85.16,14.84
1,GBM_200,0.71,0.56,0.85,0.84,0.85,0.71,0.47,84.81,15.19
2,XGBoost,0.7,0.55,0.84,0.83,0.84,0.7,0.47,83.8,16.2
3,GBM_100,0.7,0.56,0.85,0.84,0.85,0.7,0.45,85.16,14.84
4,GBM_50,0.69,0.53,0.85,0.84,0.85,0.69,0.41,84.65,15.35
5,Random Forest,0.68,0.52,0.84,0.83,0.84,0.68,0.41,84.15,15.85
6,CART,0.67,0.48,0.78,0.78,0.78,0.67,0.48,78.39,21.61
7,SVC_Linear,0.53,0.13,0.79,0.73,0.79,0.53,0.08,78.85,21.15
8,Logestic Regression,0.52,0.1,0.79,0.73,0.79,0.52,0.05,79.1,20.9
9,KNN-1,0.5,0.22,0.67,0.67,0.67,0.5,0.22,66.78,33.22
10,KNN-5,0.5,0.11,0.75,0.67,0.75,0.5,0.08,74.66,25.34
11,SVC_RBF,0.5,0.0,0.79,0.63,0.79,0.5,0.0,79.15,20.85
12,LSTM,0.5,0.0,0.79,0.63,0.79,0.5,0.0,79.15,20.85
13,KNN-3,0.5,0.14,0.72,0.67,0.72,0.5,0.11,72.08,27.92
