,Model name,AUC_two_phas,f1_score_two_phas,accuracy_two_phas,precision_weighted_two_phas,balanced_accuracy_two_phas,correctly_percentage_two_phas,incorrectly_percentage_two_phas,AUC_normal,f1_score_normal,accuracy_normal,precision_weighted_normal,balanced_accuracy_normal,correctly_percentage_normal,incorrectly_percentage_normal,AUC_ADASYN,f1_score_ADASYN,accuracy_ADASYN,precision_weighted_ADASYN,balanced_accuracy_ADASYN,correctly_percentage_ADASYN,incorrectly_percentage_ADASYN,AUC_SMOTE,f1_score_SMOTE,accuracy_SMOTE,precision_weighted_SMOTE,balanced_accuracy_SMOTE,correctly_percentage_SMOTE,incorrectly_percentage_SMOTE
6,CART,0.77,0.66,0.77,0.77,0.77,75.78,24.22,0.67,0.48,0.78,0.67,0.67,78.39,21.61,0.78,0.79,0.78,0.78,0.78,78.45,21.55,0.8,0.8,0.8,0.8,0.8,80.31,19.69
0,CatBoost,0.8400000000000001,0.76,0.8600000000000001,0.8400000000000001,0.8400000000000001,85.1,14.900000000000006,0.71,0.57,0.85,0.71,0.71,85.16,14.84,0.85,0.85,0.85,0.85,0.85,85.06,14.94,0.86,0.86,0.86,0.86,0.86,85.75,14.25
1,GBM_100,0.8300000000000001,0.74,0.8400000000000001,0.8300000000000001,0.8300000000000001,82.58,17.42,0.7,0.56,0.85,0.7,0.7,85.16,14.84,0.83,0.84,0.83,0.83,0.83,83.24,16.76,0.84,0.84,0.84,0.84,0.84,83.61,16.39
4,GBM_200,0.81,0.7000000000000001,0.8,0.81,0.81,79.06,20.939999999999998,0.71,0.56,0.85,0.71,0.71,84.81,15.19,0.83,0.84,0.83,0.83,0.83,83.5,16.5,0.84,0.84,0.84,0.84,0.84,84.18,15.82
2,GBM_50,0.8300000000000001,0.73,0.8400000000000001,0.8300000000000001,0.8300000000000001,82.83,17.17,0.69,0.53,0.85,0.69,0.69,84.65,15.35,0.83,0.83,0.83,0.83,0.83,82.74,17.26,0.83,0.83,0.83,0.83,0.83,82.61,17.39
12,KNN-1,0.52,0.41000000000000003,0.55,0.52,0.52,53.61,46.39,0.5,0.22,0.67,0.5,0.5,66.78,33.22,0.66,0.69,0.66,0.66,0.66,66.3,33.7,0.68,0.7,0.68,0.68,0.68,68.33,31.67
11,KNN-3,0.5700000000000001,0.45999999999999996,0.55,0.5700000000000001,0.5700000000000001,53.61,46.39,0.5,0.14,0.72,0.5,0.5,72.08,27.92,0.64,0.68,0.64,0.64,0.64,64.23,35.77,0.67,0.69,0.67,0.67,0.67,66.64,33.36
10,KNN-5,0.5900000000000001,0.48,0.53,0.5900000000000001,0.5900000000000001,51.85,48.15,0.5,0.11,0.75,0.5,0.5,74.66,25.34,0.63,0.67,0.63,0.63,0.63,62.95,37.05,0.66,0.68,0.66,0.66,0.66,65.76,34.24
8,LR,0.6900000000000001,0.57,0.73,0.6900000000000001,0.6900000000000001,71.75,28.25,0.52,0.1,0.79,0.52,0.52,79.1,20.9,0.68,0.69,0.68,0.68,0.68,68.31,31.69,0.66,0.67,0.66,0.66,0.66,66.3,33.7
13,LSTM,0.64,0.59,0.6399999999999999,0.64,0.62,63.73,36.27,0.5,0.0,0.79,0.5,0.5,79.15,20.85,0.56,0.62,0.56,0.56,0.56,56.0,44.0,0.56,0.63,0.56,0.56,0.56,56.19,43.81
3,Random Forest,0.8200000000000001,0.71,0.8200000000000001,0.8200000000000001,0.8200000000000001,80.57,19.430000000000007,0.68,0.52,0.84,0.68,0.68,84.15,15.85,0.85,0.86,0.85,0.85,0.85,85.25,14.75,0.86,0.86,0.86,0.86,0.86,85.6,14.4
7,SVC_Linear,0.74,0.63,0.76,0.74,0.74,74.77,25.230000000000004,0.53,0.13,0.79,0.53,0.53,78.85,21.15,0.71,0.73,0.72,0.71,0.71,71.53,28.47,0.7,0.71,0.7,0.7,0.7,70.09,29.91
9,SVC_RBF,0.6100000000000001,0.5,0.56,0.6100000000000001,0.6100000000000001,54.87,45.13,0.5,0.0,0.79,0.5,0.5,79.15,20.85,0.56,0.62,0.56,0.56,0.56,55.84,44.16,0.56,0.63,0.56,0.56,0.56,55.88,44.12
5,XGBoost,0.8,0.6900000000000001,0.8,0.8,0.8,78.8,21.200000000000003,0.7,0.55,0.84,0.7,0.7,83.8,16.2,0.85,0.85,0.85,0.85,0.85,84.97,15.03,0.86,0.86,0.86,0.86,0.86,86.02,13.98
