,Model name,AUC,f1_score,accuracy,precision_weighted,precision_micro,balanced_accuracy,Recall,correctly_percentage,incorrectly_percentage
0,CatBoost,0.79,0.62,0.8,0.85,0.8,0.79,0.78,80.1,19.9
1,GBM_100,0.78,0.6,0.78,0.84,0.78,0.78,0.8,77.58,22.42
2,GBM_50,0.78,0.59,0.78,0.83,0.78,0.78,0.77,77.83,22.17
3,Random Forest,0.77,0.57,0.76,0.83,0.76,0.77,0.78,75.57,24.43
4,GBM_200,0.76,0.56,0.74,0.82,0.74,0.76,0.78,74.06,25.94
5,XGBoost,0.75,0.55,0.74,0.82,0.74,0.75,0.76,73.8,26.2
6,CART,0.72,0.52,0.71,0.8,0.71,0.72,0.75,70.78,29.22
7,SVC_Linear,0.69,0.49,0.7,0.79,0.7,0.69,0.69,69.77,30.23
8,Logestic Regression,0.64,0.43,0.67,0.76,0.67,0.64,0.6,66.75,33.25
9,SVC_RBF,0.56,0.36,0.5,0.72,0.5,0.56,0.67,49.87,50.13
10,KNN-5,0.54,0.34,0.47,0.7,0.47,0.54,0.65,46.85,53.15
11,KNN-3,0.52,0.32,0.49,0.69,0.49,0.52,0.59,48.61,51.39
12,KNN-1,0.47,0.27,0.49,0.65,0.49,0.47,0.45,48.61,51.39
