,Model name,AUC,f1_score,accuracy,precision_weighted,precision_micro,balanced_accuracy,Recall,correctly_percentage,incorrectly_percentage
0,CatBoost,0.78,0.6,0.78,0.84,0.78,0.78,0.79,77.94,22.06
1,GBM_50,0.77,0.59,0.79,0.83,0.79,0.77,0.75,78.65,21.35
2,XGBoost,0.77,0.58,0.76,0.83,0.76,0.77,0.78,75.98,24.02
3,GBM_200,0.77,0.58,0.77,0.83,0.77,0.77,0.76,76.87,23.13
4,Random Forest,0.76,0.57,0.76,0.82,0.76,0.76,0.75,75.62,24.38
5,GBM_100,0.76,0.57,0.77,0.82,0.77,0.76,0.73,77.05,22.95
6,CART,0.72,0.51,0.7,0.8,0.7,0.72,0.75,70.46,29.54
7,SVC_Linear,0.71,0.5,0.68,0.8,0.68,0.71,0.78,67.62,32.38
8,Logestic Regression,0.67,0.46,0.65,0.78,0.65,0.67,0.71,64.59,35.41
9,SVC_RBF,0.58,0.38,0.49,0.73,0.49,0.58,0.73,49.11,50.89
10,KNN-5,0.56,0.36,0.52,0.71,0.52,0.56,0.64,52.14,47.86
11,KNN-3,0.56,0.36,0.51,0.71,0.51,0.56,0.64,50.89,49.11
12,KNN-1,0.54,0.33,0.55,0.69,0.55,0.54,0.53,54.63,45.37
